1	삼성전자	63700	+0.16%	2454722	7.91	17.07
2	LG에너지솔루션	557000	+1.09%	23967	168.53	5.75
3	SK하이닉스	88100	+3.04%	725250	28.76	3.56
4	삼성바이오로직스	787000	+0.13%	3292	68.97	11.42
5	LG화학	739000	-0.40%	24766	31.35	6.95
6	삼성SDI	714000	+1.13%	28582	25.74	12.52
7	삼성전자우	53800	+0.19%	162174	6.68	N/A
8	현대차	206000	+2.49%	455073	7.75	9.36
9	기아	89200	+3.00%	743012	6.68	14.57
10	POSCO홀딩스	375500	-1.05%	238470	10.30	6.11
11	NAVER	187500	+0.75%	87441	40.46	3.29
12	포스코퓨처엠	344000	-1.01%	187717	225.28	4.87
13	카카오	56400	+0.71%	142893	18.57	13.54
14	셀트리온	165600	+0.12%	31755	45.04	13.35
15	현대모비스	236000	-0.63%	42170	8.97	6.80
16	KB금융	49200	-1.11%	97732	4.60	9.17
17	삼성물산	106200	+0.28%	17454	9.79	7.16
18	LG전자	109500	+0.55%	47169	16.55	6.61
19	신한지주	35250	-1.12%	87689	4.03	9.70
20	SK이노베이션	175900	+0.46%	67889	10.51	8.49
21	LG	87100	+0.81%	9681	7.05	8.48
22	삼성생명	65300	-0.61%	13980	8.25	5.73
23	하나금융지주	41750	-0.83%	73109	3.49	10.06
24	SK	163200	+0.06%	12910	11.10	5.13
25	한국전력	18530	-0.16%	90408	-0.49	-46.91
26	KT&G	85800	-0.23%	21530	11.60	11.00
27	두산에너빌리티	17430	-3.70%	1625833	-13.98	-11.70
28	하이브	264500	+1.54%	22967	209.09	1.87
29	삼성화재	225500	-2.17%	8922	8.91	9.70
30	카카오뱅크	22200	-0.89%	110179	40.14	4.68
31	삼성전기	140300	+0.43%	54597	11.10	13.76
32	SK텔레콤	47750	0.00%	27456	11.45	7.97
33	고려아연	519000	-0.95%	3421	12.79	9.38
34	HMM	20600	-0.96%	117400	1.00	64.98
35	HD현대중공업	109800	0.00%	21301	-27.69	-6.47
36	LG생활건강	607000	-0.33%	2146	45.46	4.41
37	한화솔루션	54400	-1.27%	260138	29.18	4.21
38	크래프톤	189700	-0.94%	12816	18.61	10.29
39	메리츠금융지주	43800	-3.95%	141504	5.37	30.32
40	삼성에스디에스	116400	-1.61%	19729	8.19	14.23
41	S-Oil	76800	-0.26%	9045	4.26	27.20
42	우리금융지주	11740	-1.51%	213245	2.72	11.51
43	대한항공	22700	0.00%	79953	4.73	21.95
44	기업은행	10090	-0.79%	65023	2.90	9.85
45	KT	30000	0.00%	96128	6.20	7.99
46	엔씨소프트	356000	0.00%	5425	17.94	13.73
47	카카오페이	54000	+0.75%	17736	132.68	3.08
48	롯데케미칼	167000	-1.30%	10664	97.72	0.43
49	아모레퍼시픽	118000	-2.16%	42983	60.61	2.81
50	현대글로비스	167400	-0.42%	20339	5.28	18.78
51	LG이노텍	259500	+0.78%	14434	6.27	25.85
52	HD한국조선해양	86000	+0.23%	20787	-28.06	-2.22
53	DB손해보험	83000	-2.81%	18609	5.98	16.45
54	삼성엔지니어링	29850	+0.17%	71487	8.80	28.32
55	KODEX 200	32955	+0.08%	220848	N/A	N/A
56	LG디스플레이	16070	-0.80%	164002	-1.87	-26.71
57	SK스퀘어	39650	+0.25%	21334	21.60	1.55
58	한국항공우주	57100	-4.03%	340202	47.00	8.78
59	오리온	140600	0.00%	4116	14.17	16.47
60	넷마블	64300	-0.31%	8183	-6.75	-14.56
